outflow,temp,(pH(-)),BOD,COD,SS,T-N,T-P,Escherichia coli
1467,15.7,6.9,1.8,7.8,4.3,6.575,0.096,26
1512,15.6,6.9,3,7.4,3.3,6.36,0.13,27
1551,17.3,6.6,1.2,6.8,3.8,3.218,0.058,24
1324,16.8,6.9,2.1,7.2,2.5,3.113,0.055,13
1413,17.1,6.9,1.6,6.3,4.2,8.338,0.094,12
1581,16.8,6.9,2.3,7,2,2.832,0.044,13
1369,16,7.2,1.7,7.9,3.6,2.89,0.057,14
1673,16.4,7,1,7,2.7,2.719,0.069,15
1395,17.3,7,0.4,5.8,3.1,2.309,0.087,18
1318,16.2,7,1.8,7.6,2.5,4.718,0.062,12
1692,17.1,7.2,0.9,7.9,2.4,6.887,0.126,10
1026,18.8,6.8,1.6,8.7,6.5,7.034,0.084,14
1845,18.1,6.8,1,7.5,3.5,3.954,0.058,12
1483,17.6,6.9,1,6.7,3.5,3.8,0.072,18
1474,17.9,7,1.7,6.8,2.5,2.821,0.075,13
1505,17.2,7.1,1.7,7.7,4.5,2.619,0.069,16
1093,19,6.7,2.3,8,4.2,5.423,0.059,22
1473,18.7,7,1.1,7.5,2.4,6.038,0.085,23
1456,18.7,6.6,1.4,6.5,3.2,5.101,0.06,24
1413,18,7.1,1,7.6,2.4,4.641,0.084,26
1471,18.4,6.8,1.5,7.8,2.4,6.312,0.092,32
1247,18,6.6,1.9,7.9,2.8,1.523,0.062,32
1748,18.5,6.7,1.5,7.2,2.4,2.353,0.081,33
1074,19,6.5,1.7,8.2,1.3,6.722,0.086,21
1576,18.7,6.5,0.7,8.5,0.5,6.613,0.065,19
1290,19,6.6,1.3,8.1,1,6.429,0.092,38
1282,19,6.7,1.4,7.5,0.5,5.109,0.111,47
1346,18.7,6.8,2.5,7.2,2.5,4.616,0.066,52
1319,20.1,7,2.7,6.9,1.7,0.587,0.059,54
1332,19.5,7.1,2.2,7,3.7,0.695,0.065,53
1727,19.6,6.9,1.7,7.3,4,3.868,0.074,49
1276,19,7,1.6,8.1,3,4.959,0.1,49
1296,20,7,0.7,6.8,2.3,3.574,0.078,56
1292,19.4,7.1,0.5,8,4,3.391,0.093,54
1322,19.3,7,2.2,6.9,2.5,3.056,0.093,49
1337,19.5,7,1.7,6.9,2.4,2.251,0.076,40
1361,19.7,7.1,2.2,7.5,2.5,2.737,0.059,48
1323,19.8,7,0.4,7.5,3,4.997,0.091,57
1185,21,7,2.2,8,3.5,5.088,0.13,45
1417,21.5,7,0.7,7.5,2,4.041,0.105,52
1514,20.9,7.1,0.8,7.6,3,1.073,0.078,50
1506,20.2,6.9,1.6,7.4,4,3.618,0.132,46
1452,20.4,7.1,1.4,7.7,2,0.552,0.055,37
1712,20.1,7.1,1.8,7.6,3.5,1.253,0.077,45
1337,20.1,7,2.2,7.8,3,4.742,0.103,45
1349,20,6.9,0.3,7.1,1.5,4.801,0.102,48
1268,20.2,7,2.7,7.8,2,3.998,0.087,30
1341,20.4,6.6,0.5,5.5,3,3.574,0.111,28
1330,20.2,6.8,3.6,7.9,5.5,2.983,0.13,41
1691,20,6.9,2.2,8.6,3.3,2.525,0.045,32
1408,20.1,6.9,1,8.2,3.3,3.12,0.051,28
1344,21.1,7.5,2.5,8.4,5.5,4.682,0.179,29
1557,20.6,7.3,0.7,8.7,4.5,5.804,0.156,50
1394,20.3,7,2.9,7.2,1.5,4.452,0.108,60
1166,21.4,7.1,2.8,7.7,4,5.783,0.161,72
1409,21.4,7.1,3.3,7.5,3.5,2.941,0.126,78
1410,20.8,7,2.1,7.6,2.5,6.656,0.087,67
1170,21.7,7.2,2.1,8.4,2.3,8.594,0.099,61
1538,21.9,7.2,3.9,8,2.7,10.02,0.098,63
1022,22.2,7,2.8,7.6,2,10.88,0.111,73
1573,21.5,7.3,2.9,8.3,1.5,9.721,0.127,77
1296,22.9,7.6,2.6,7.8,2,10.722,0.107,75
1342,22.5,7.3,2.4,7.9,3.5,9.878,0.144,70
1300,21.7,7.3,3.4,8,1,9.993,0.121,52
1291,22.1,7,3.8,8.2,1,10.381,0.103,43
1346,21.7,7,2.7,3.6,3.5,10.579,0.127,40
1293,22.8,7.2,2.2,12.6,4,9.313,0.16,61
1316,22.5,7.1,2.7,8.9,2.5,6.646,0.126,90
1263,22.4,7,2.6,8.4,2,5.284,0.147,100
1296,22.4,7,2.4,8.6,2.5,4.666,0.145,120
992,22.4,7.1,1.6,8.8,1.5,2.023,0.074,100
1353,22.1,7,2.4,7.8,2.9,2.105,0.088,120
1311,21.8,7.1,2.8,9.1,4,5.698,0.078,110
1312,22.1,7,2.6,8.4,2.5,5.584,0.147,100
1310,22.3,7.1,0.9,8,3,7.614,0.063,90
1303,22.4,7.1,0.3,7.7,2,8.665,0.045,85
1309,21.9,7.1,0.4,6.8,2,8.923,0.055,92
1564,22.1,7.1,0.5,6.9,1.5,6.195,0.157,78
1374,22.2,7.1,0.1,6.8,1.5,5.857,0.113,94
1504,22.3,7.1,1.5,6.7,2.5,7.003,0.091,84
1029,22.4,7.2,1.3,6.3,1,6.964,0.084,82
1361,22.7,7.1,0.8,6.4,0.5,6.432,0.08,87
1482,22.5,7.2,0.6,4.5,3.5,5.147,0.094,88
1335,22.1,7.2,1,7.3,2,2.978,0.004,73
1342,22.3,7.4,1.7,7.1,2,5.618,0.046,85
1689,22.4,7.4,1.7,6.9,2,5.921,0.062,87
1414,22.3,6.9,1.2,6.5,0.5,3.531,0.011,87
1669,22.2,7.1,0.9,6.5,0.5,4.247,0.019,12
1347,21.6,7,0.3,6.3,1,4.026,0.04,85
1594,22.9,7,1.3,5.9,2.2,4.395,0.054,62
1610,23.3,7.1,0.9,6.1,1.5,4.023,0.048,56
1675,23.4,7.4,0.8,5.8,1.8,7.212,0.029,54
1693,22.8,7.5,0.9,5.5,2.1,6.627,0.103,52
1609,23.7,7.1,2,6.3,2,3.179,0.078,58
1674,21.3,7.2,0.2,6,1.6,3.532,0.032,52
1404,24.1,7.4,0.6,5.7,1,3.266,0.033,51
1695,24.2,7.3,0.8,6.4,1,3.266,0.007,59
1955,23.7,7.5,0.4,6.4,1,2.599,0.025,59
1562,24.3,7.4,1.4,6.5,2,1.573,0.012,46
